complex_id,direction,alpha,meanL_mpnn,meanL_esmif,meanL_mif
3TGK_E_I,L,2.0,0.572,0.0453,0.2405
3TGK_E_I,random,2.0,0.0286,-0.1814,-0.0191
3U82_A_B,L,2.0,0.786,1.0084,0.5732
3U82_A_B,random,2.0,0.0269,0.3463,-0.1183
3UIG_A_P,L,2.0,0.9592,0.1689,0.1978
3UIG_A_P,random,2.0,0.3629,-0.502,-0.0918
3UIH_A_P,L,2.0,0.9522,0.6592,1.3072
3UIH_A_P,random,2.0,0.2352,0.1185,0.7588
3UII_A_P,L,2.0,1.1996,0.5259,0.4051
3UII_A_P,random,2.0,0.5739,0.0282,0.2589
3W2D_A_HL,L,2.0,0.2798,0.5233,0.274
3W2D_A_HL,random,2.0,-0.059,0.3254,0.2312
3WWN_A_B,L,2.0,0.4682,0.0898,0.1048
3WWN_A_B,random,2.0,-0.126,-0.2163,-0.4147
4B0M_A_BM,L,2.0,0.382,-0.1572,-0.0775
4B0M_A_BM,random,2.0,-0.5385,-1.0734,-0.733
4BFI_A_B,L,2.0,0.5446,-0.118,0.1966
4BFI_A_B,random,2.0,-0.5647,-1.5123,-0.9173
4CPA_A_I,L,2.0,0.156,0.1099,-0.2878
4CPA_A_I,random,2.0,-0.3253,-0.0014,-0.6259
4E6K_AB_G,L,2.0,0.3416,0.3863,0.2886
4E6K_AB_G,random,2.0,-0.4464,-0.6103,-0.0592
4EKD_A_B,L,2.0,0.4732,0.4519,0.1784
4EKD_A_B,random,2.0,-0.0797,-0.0199,-0.3208
4FZA_A_B,L,2.0,0.5076,0.2437,0.4613
4FZA_A_B,random,2.0,-0.017,-0.1923,-0.0042
4G0N_A_B,L,2.0,0.561,0.5308,-0.0271
4G0N_A_B,random,2.0,-0.1657,-0.1179,-0.9452
4G2V_A_B,L,2.0,0.959,0.4282,0.3429
4G2V_A_B,random,2.0,-0.0411,-0.6491,-0.6714
4HFK_A_BD,L,2.0,0.8249,-0.19,0.5577
4HFK_A_BD,random,2.0,-0.1895,-1.459,-0.7433
4HRN_A_D,L,2.0,0.5826,-0.3982,0.2371
4HRN_A_D,random,2.0,-0.1657,-0.9511,-0.4902
4HSA_AB_C,L,2.0,0.5454,0.2596,0.3319
4HSA_AB_C,random,2.0,-0.275,-0.4551,-0.3473
4I77_HL_Z,L,2.0,0.324,0.0226,0.11
4I77_HL_Z,random,2.0,-0.4291,-0.9168,-0.7599
4J2L_A_CD,L,2.0,0.6362,0.3663,0.1603
4J2L_A_CD,random,2.0,-0.4618,-0.6601,-0.8255
4JPK_HL_A,L,2.0,0.5511,-0.1264,0.348
4JPK_HL_A,random,2.0,-0.0412,-0.6262,-0.3707
4KRL_A_B,L,2.0,0.5546,0.0526,0.2353
4KRL_A_B,random,2.0,0.1772,-0.056,-0.0142
4KRO_A_B,L,2.0,0.5291,-0.1814,-0.148
4KRO_A_B,random,2.0,-0.0828,-0.4847,-0.321
4KRP_A_B,L,2.0,0.6569,0.0053,-0.0748
4KRP_A_B,random,2.0,0.0619,-0.4035,-0.4899
4L0P_A_B,L,2.0,0.2527,-0.1858,-0.2523
4L0P_A_B,random,2.0,-0.3788,-1.3618,-0.7329
4MYW_A_B,L,2.0,0.3335,0.2768,0.1868
4MYW_A_B,random,2.0,-0.3873,-0.495,-0.3329
4N8V_G_ABC,L,2.0,0.7632,0.2825,0.3677
4N8V_G_ABC,random,2.0,0.0162,-0.4218,-0.1507
4NKQ_C_AB,L,2.0,0.4878,0.3488,0.3479
4NKQ_C_AB,random,2.0,0.0315,0.0989,0.0508
4NZW_A_B,L,2.0,0.2654,0.2121,0.1166
4NZW_A_B,random,2.0,-0.207,-0.3198,-0.2757
4O27_A_B,L,2.0,0.4752,0.3539,0.4296
4O27_A_B,random,2.0,-0.226,-0.4017,-0.0751
4OFY_A_D,L,2.0,0.6132,0.245,0.0399
4OFY_A_D,random,2.0,0.0969,-0.1068,-0.2695
4RA0_A_C,L,2.0,0.6269,0.4618,0.3092
4RA0_A_C,random,2.0,-0.233,-0.3406,-0.1163
4RS1_A_B,L,2.0,0.5514,0.2489,0.5552
4RS1_A_B,random,2.0,-0.2239,-0.3944,0.0908
4U6H_AB_E,L,2.0,0.4596,0.1943,-0.1827
4U6H_AB_E,random,2.0,0.0336,-0.0683,-0.2151
4UYP_A_D,L,2.0,0.6137,0.1299,-0.1733
4UYP_A_D,random,2.0,-0.1975,-0.6625,-0.8111
4UYQ_A_B,L,2.0,0.4601,-0.1479,0.114
4UYQ_A_B,random,2.0,-0.3698,-1.331,-0.8012
4WND_A_B,L,2.0,0.5621,0.0349,-0.2283
4WND_A_B,random,2.0,-0.2682,-0.7056,-0.8717
4X4M_AB_E,L,2.0,0.424,0.1279,0.4998
4X4M_AB_E,random,2.0,-0.2414,-0.2553,0.007
4Y61_A_B,L,2.0,0.2627,-0.2743,-0.0754
4Y61_A_B,random,2.0,-0.1491,-0.6677,-0.4117
4YEB_A_B,L,2.0,0.2004,0.1013,-0.1357
4YEB_A_B,random,2.0,-0.0277,-0.0409,-0.2513
4ZS6_HL_A,L,2.0,0.4556,0.2897,0.1512
4ZS6_HL_A,random,2.0,-0.5989,-0.6998,-0.6976
5E6P_A_B,L,2.0,0.4252,0.23,0.1212
5E6P_A_B,random,2.0,-0.3128,-0.2927,-0.3744
5E9D_AB_CDE,L,2.0,0.6192,-0.122,0.2351
5E9D_AB_CDE,random,2.0,-0.4163,-1.0303,-0.5052
5F4E_A_B,L,2.0,0.3605,0.0582,0.1945
5F4E_A_B,random,2.0,-0.3476,-0.6691,-0.2349
5K39_A_B,L,2.0,0.6558,-0.2263,-0.1879
5K39_A_B,random,2.0,-0.3789,-1.4776,-1.0747
5M2O_A_B,L,2.0,0.4766,-0.2664,0.57
5M2O_A_B,random,2.0,-0.2954,-0.9242,-0.3131
5TAR_A_B,L,2.0,0.7303,0.1946,0.2835
5TAR_A_B,random,2.0,-0.2317,-0.1809,-0.3917
5UFE_A_B,L,2.0,0.36,-0.2881,0.0606
5UFE_A_B,random,2.0,-0.8377,-1.8083,-1.0122
5UFQ_A_C,L,2.0,0.3444,-0.3267,-0.266
5UFQ_A_C,random,2.0,-0.8915,-1.8031,-1.3666
5XCO_A_B,L,2.0,0.6397,-0.5375,-0.5192
5XCO_A_B,random,2.0,-0.5066,-1.7512,-2.153
